year,n_picks,win_rate,beat_spy_rate,median_ret,cagr_dca_picks,cagr_dca_spy,edge
1997,12,1.0,0.0,0.8160913092285407,0.04199724842035839,0.0915504280490123,-0.04955317962865391
1998,12,1.0,0.08333333333333333,3.0806418763661716,0.09052132405573311,0.08581791186939806,0.004703412186335049
1999,12,0.5,0.5,4.10319886408228,0.13251382846584797,0.08042574041291145,0.05208808805293652
2000,12,0.6666666666666666,0.25,2.919960635956964,0.060688525100362746,0.0800473045235464,-0.019358779423183654
2001,12,0.5,0.0,0.0051896791975475365,-0.0009666662435556489,0.09088392978054294,-0.09185059602409859
2002,12,1.0,0.16666666666666666,1.748723840677759,0.06786396218050637,0.10297192090127198,-0.03510795872076561
2003,12,1.0,0.3333333333333333,2.3400660999304574,0.15309577398234225,0.10766507679213831,0.04543069719020394
2004,12,0.9166666666666666,0.8333333333333334,132.6528438595133,0.2851549581903791,0.10364960893254653,0.18150534925783257
2005,12,0.6666666666666666,0.3333333333333333,3.0224563039106833,0.2075906571218719,0.10466213038665,0.10292852673522192
2006,12,1.0,0.5833333333333334,10.717509113470435,0.15594194610540849,0.10436522423262412,0.051576721872784365
2007,12,0.3333333333333333,0.25,-0.11611656259292297,0.07961643027419746,0.10241493593092536,-0.022798505656727905
2008,12,0.6666666666666666,0.3333333333333333,1.598090187147171,0.18659291630978742,0.12095084558556012,0.0656420707242273
2009,12,0.08333333333333333,0.0,-0.6622149349073179,-0.016825205703975568,0.1429958297799806,-0.15982103548395615
2010,12,0.5833333333333334,0.16666666666666666,0.43334289902382783,0.10184615081401063,0.13752448847783116,-0.03567833766382053
2011,12,0.6666666666666666,0.4166666666666667,4.1592896292235295,0.28180154956692566,0.13629901595250676,0.1455025336144189
2012,12,1.0,0.8333333333333334,55.1920667224067,0.3353344644516095,0.13847175773357898,0.19686270671803055
2013,12,1.0,0.16666666666666666,2.0293358636644734,0.09602962859815294,0.13283258889900748,-0.036802960300854545
2014,12,0.6666666666666666,0.25,1.432719548138408,0.11922329852193332,0.12689533258871757,-0.007672034066784253
2015,12,0.5833333333333334,0.25,0.30880328868165485,0.16597979637453533,0.1310082960632978,0.034971500311237524
2016,12,1.0,0.25,0.7290430658270646,0.1042651191455138,0.14004030219617833,-0.03577518305066453
2017,12,1.0,0.3333333333333333,0.6294030591978799,0.18063648746757374,0.13407948713427992,0.046557000333293824
2018,12,0.8333333333333334,0.4166666666666667,1.15431733344272,0.20394234888633533,0.13430264011506382,0.06963970877127151
2019,12,0.4166666666666667,0.08333333333333333,-0.8640161380697265,0.025042755606821246,0.1406095589887787,-0.11556680338195745
2020,12,0.25,0.16666666666666666,-0.9207725990155644,0.016371715316520742,0.14638555008626633,-0.1300138347697456
2021,12,0.5833333333333334,0.5833333333333334,0.775069279689122,0.09196508973483011,0.10710648139704537,-0.015141391662215259
2022,12,0.9166666666666666,0.9166666666666666,2.5536571240928536,0.9241585345434973,0.14677608128468897,0.7773824532588083
2023,12,0.4166666666666667,0.3333333333333333,-0.19287596378136285,1.313706503766136,0.17183287438005856,1.1418736293860774
2024,12,0.08333333333333333,0.08333333333333333,-0.4176589246120537,-0.22393791110023817,0.11709295989331726,-0.34103087099355545
