asof,ticker,score,pullback_1y,pullback_all,range_pos_1y,trend_health_5y,mom_12_1,mom_6_1,mom_3,vol_1y,ret_5d,ret_21d,accel,d_sma200,d_sma50,sma50_above_200,rsi_14,recovery_rate,frac_above_50dma_1y,sharpe_1y,dd_from_52wh,price,mom_2y,below_52wh,new_52wh,sharpe_12m,mean_ret_12m,vol_12m,beta_2y,best_month_24m,worst_month_24m,tail_ratio_24m,trend_r2_12m,max_below_200_streak,mom_3y,pullback_3y,excess_5y_logret,mom_5y,pullback_5y,ret__hold_forever,ret__fixed_1y,ret__fixed_3y,ret__fixed_5y,days__hold_forever
1997-01-31,MITK,5.008738182748575,-0.6595744680851063,-0.6595744680851063,0.11428571428571428,0.790273556231003,-0.3142857142857143,-0.5932203389830508,-0.3846153846153846,0.9696503326200825,0.06666666666666665,0.33333333333333326,-0.2666666666666666,-0.40827034648544946,-0.027798875892450225,0.0,49.69819907232194,0.8333333333333334,0.4523809523809524,0.3820886881581668,0.6595744680851063,2.0,1.1333333333333333,1.9375,0.0,0.3820886881581668,0.37049242356293743,0.9696503326200825,-0.05949279473394571,0.9285714285714286,-0.375,2.4761904761904763,0.00552619467810711,63,,,,,,6.679999828338623,-0.421875,2.0625,-0.19499999284744263,7605
1997-01-31,VIAV,4.579085496968558,-0.2668067612851045,-0.2668067612851045,0.6214604558258635,0.9969604863221885,1.5882350156579683,0.6097559725587305,-0.088772868445957,0.7381075053302069,-0.05675674147300014,-0.11868686441036758,0.06193012293736744,0.12583365443846928,-0.1043244215368504,1.0,46.96304126870271,0.6666666666666666,0.8015873015873016,1.4868382086400234,0.2668067612851045,12.407565116882324,4.816666005357166,0.3638969199344364,0.0,1.4868382086400234,1.0974464410089213,0.7381075053302069,1.3491708283198656,0.4326922642902511,-0.26760562182976777,1.6169027441639476,0.8478112991257302,1,,,,,,3.1144252523486244,0.8108882402562589,36.39828097407626,2.674957216507722,7605
1997-01-31,NBR,4.362785485224357,-0.1590911216191364,-0.1590911216191364,0.6585361162275796,0.9665653495440729,0.6489359386776963,0.35964922482291106,0.12977066202840848,0.3940887996632684,-0.019867675987145006,-0.045161429234327755,0.02529375324718275,0.12193454208107024,-0.059959412228493214,1.0,41.18070094369213,1.0,0.7341269841269841,1.3534646939364405,0.1590911216191364,395.177490234375,1.9599997439837318,0.18918948974050553,0.0,1.3534646939364405,0.5333852766200248,0.3940887996632684,0.6573322829603574,0.2583338420960044,-0.11538457480722286,2.2388940855189006,0.6420033888435861,10,,,,,,-0.7557553275976788,0.3108106647094766,0.6013511593324548,0.7864864914956751,7605
1997-01-31,HMC,4.347614121889298,-0.1018713294288679,-0.1018713294288679,0.6892966202234125,1.0,0.27690122269795014,0.1661743475563111,0.1279375556616289,0.2278754797495239,0.018868210238977,-0.05263143073662291,0.07149964097559991,0.07475563858541845,-0.03325424443126401,1.0,45.884602406217354,1.0,0.6349206349206349,0.9522934345885533,0.1018713294288679,8.662625312805176,0.7273642666106817,0.11342620803329484,0.0,0.9522934345885533,0.21700432326918845,0.2278754797495239,0.3188160047019813,0.24671921268968666,-0.07251890001050076,3.4021367209646263,0.7218181235066401,0,,,,,,1.7774489369148472,0.3774585588403312,0.23185592740884742,0.5742364027826079,7605
1997-01-31,ALKS,4.3216151797951,-0.13888888888888884,-0.13888888888888884,0.8051948051948052,1.0,1.5063291139240507,0.9223300970873787,0.631578947368421,0.7793799525976292,0.10059171597633143,-0.06060606060606055,0.16119777658239198,0.56312372628527,0.1677548970366649,1.0,56.2556250159502,0.8333333333333334,0.7579365079365079,1.486585583832482,0.13888888888888884,11.625,7.651162790697674,0.16129032258064524,0.0,1.486585583832482,1.1586150018596786,0.7793799525976292,1.6318162996525358,1.225806451612903,-0.21285140562248994,5.7589774802191105,0.7514752431802305,0,,,,,,2.045161421580981,0.032258064516129004,1.8521505376344085,1.250322567519321,7605
1997-02-28,BOOM,5.8530656680082975,-0.42105255497074556,-0.42105255497074556,0.49206355423852643,1.0,2.9285720743743062,0.9642860371871531,0.33333359119405626,0.7630376200688617,-0.24137909280356717,-0.20000009282983156,-0.04137899997373562,0.32537612704014096,-0.16317986282366947,1.0,37.24223630784869,0.8,0.9444444444444444,1.8828049680770464,0.42105255497074556,4.931212425231934,4.67741914232503,0.7272724987144035,0.0,1.8828049680770464,1.4366510218953386,0.7630376200688617,0.2758478606626989,0.4772728371565369,-0.2777779287933483,1.7181812796638787,0.9469278582285736,0,,,,,,0.4864498406517739,-0.20454557761532122,-0.8409090986009575,-0.6727273030552041,7586
1997-02-28,VIAV,5.512373138836529,-0.4495798570320312,-0.4495798570320312,0.3515151483129078,0.9770114942528736,1.205128346219341,0.15436247531294267,-0.4495798570320312,0.7533833569072914,-0.12374583260028249,-0.23837212475910186,0.11462629215881937,-0.18376250103925695,-0.2588192192462355,1.0,29.680222031232503,0.6666666666666666,0.7301587301587301,1.0622363982124592,0.4495798570320312,9.31456184387207,2.54054107204304,0.8167939759759009,0.0,1.0622363982124592,0.8002712235144128,0.7533833569072914,1.3680344920173748,0.4326922642902511,-0.26760562182976777,1.6169027441639476,0.7358007156599415,7,,,,,,4.480665660150797,1.3320611617087943,61.73282696288512,2.419847351691293,7586
1997-02-28,PTEN,5.023292008199987,-0.3284670078385242,-0.3284670078385242,0.494382337749344,0.9971264367816092,1.5100002192763395,0.5886080855819957,-0.1711710188184683,0.4896084005712119,-0.11538439422108204,-0.2669319237431277,0.15154752952204564,0.05908839274197186,-0.20276409759753478,1.0,25.98359137936879,0.6666666666666666,0.7777777777777778,1.4932260997888058,0.3284670078385242,1.9806219339370728,2.3153142708683987,0.4891301122544722,0.0,1.4932260997888058,0.7310960424087861,0.4896084005712119,0.2712478669807664,0.2714282414519442,-0.281249872923769,0.9650786278773292,0.8766045393423587,1,,,,,,4.760816666677701,0.7934777002070641,2.336954271892758,2.7704338355143086,7586
1997-02-28,CENT,4.793147513652442,-0.24782604762169824,-0.24782604762169824,0.6437500516477634,1.0,1.972602444162305,0.10152276742722277,0.0,0.6513754586348085,-0.05464484498811495,-0.20276492049490147,0.14812007550678652,0.01842963166773215,-0.07521246424283956,1.0,34.77883486508898,0.75,0.7420634920634921,1.6508219941169933,0.24782604762169824,5.708813190460205,5.407407541204481,0.32947969926118303,0.0,1.6508219941169933,1.0753049335423857,0.6513754586348085,0.9062155609003922,0.3764706042353878,-0.19907405734943984,1.8911083103840056,0.7002773854411721,0,,,,,,5.749213451875249,0.6127167084480116,-0.5520231411825798,-0.6467052263948069,7586
1997-02-28,MITK,4.755944135972614,-0.648936170212766,-0.648936170212766,0.12857142857142856,0.7471264367816092,-0.08823529411764708,-0.4833333333333333,-0.17500000000000004,0.9435251592867334,0.03125,0.06451612903225801,-0.03326612903225801,-0.3788381449848238,0.057861836832825864,0.0,53.081048857826055,0.8333333333333334,0.42063492063492064,0.42920643617204535,0.648936170212766,2.0625,0.6499999999999999,1.8484848484848486,0.0,0.42920643617204535,0.4049670710561203,0.9435251592867334,-0.06847724515505847,0.9285714285714286,-0.375,2.4761904761904763,0.10665888311051874,82,,,,,,6.44727256081321,-0.5151515151515151,3.575757575757576,0.02303025216767285,7586
